요양기관명,우편번호,주소,전화번호
이관우내과의원,6343,서울특별시 강남구 일원로 35 2층 (일원동),02-3411-0588
성누가외과의원,2164,서울특별시 중랑구 용마산로 541 (망우동),02-491-1727
이청민소아청소년과의원,8623,서울특별시 금천구 시흥대로 274 (독산동),02-803-0636
최인태내과의원,8037,서울특별시 양천구 지양로 77 (신월동),02-2690-4875
김영환내과의원,3383,서울특별시 은평구 은평로 219 2층 (녹번동),02-358-4794
이수현내과의원,1429,서울특별시 도봉구 해등로 255 (쌍문동),02-903-0092
박상호의원,1782,서울특별시 노원구 동일로 1280 201호 (중계동 시영2단지상가),02-496-9361
유광수내과의원,7041,서울특별시 동작구 상도로 102 3층 (상도동),02-814-5955
이종익내과의원,1751,서울특별시 노원구 노해로 494 206호 (상계동 고려빌딩),
가족건강의원,1387,서울특별시 도봉구 해등로 218 (쌍문동),02-903-1556
홍지희내과의원,5554,서울특별시 송파구 올림픽로 240 (잠실동 롯데마트 잠실점 5층),02-411-0495
채내과의원,3624,서울특별시 서대문구 세검정로 32 지1 1 2 5층 (홍제동),02-391-6703
세란의원,7983,서울특별시 양천구 목동서로 77 (목동 현대월드타워),02-2642-5975
동진가정의학과의원,8257,서울특별시 구로구 오리로 1297 청파빌딩 2층 (궁동),02-2617-4527
신성내과의원,4934,서울특별시 광진구 능동로 378 (중곡 2동),02-446-8293
김앤리내과정형외과의원,3457,서울특별시 은평구 응암로 213 (응암동),02-303-0022
안내과의원,4529,서울특별시 중구 퇴계로 61 5층 (남창동 금오빌딩),02-777-6882
늘편한의원,1411,서울특별시 도봉구 노해로69길 97 313호 (창동 동아청솔아파트),02-991-8703
연세내과의원,7639,서울특별시 강서구 강서로 261 (내발산동),02-2692-7825
하계성모의원,1809,서울특별시 노원구 공릉로58가길 14 2층 (하계동),02-977-6570
정기수내과의원,7702,서울특별시 강서구 화곡로 173 (화곡동),02-2602-7595
박소배내과의원,6280,서울특별시 강남구 남부순환로 2935 (대치동),02-566-6866
그린소아과의원,8845,서울특별시 관악구 신림로 169 401호 (신림동 영창빌딩),02-873-0275
원상희외과의원,3679,서울특별시 서대문구 응암로 81 (북가좌동),02-308-2301
조내과의원,8581,서울특별시 금천구 독산로 235 2층 (독산동),02-855-6500
조내과의원,6964,서울특별시 동작구 장승배기로10길 49 1 2층 (상도동),02-817-6131
김영준내과의원,2010,서울특별시 중랑구 동일로 865,02-973-2811
장동석내과의원,5224,서울특별시 강동구 고덕로 353 고덕그라시움아파트(상가1동) 2층 209~211호 (고덕동),02-427-4174
김승국소아과의원,8574,서울특별시 금천구 금하로 707 2층 (시흥동),02-806-4339
온누리산부인과의원,2751,서울특별시 성북구 오패산로 10 (하월곡동),02-919-2321
호산의원,8281,서울특별시 구로구 구로동로 215-1 2층 (구로동),02-862-7067
김우요내과의원,3485,서울특별시 은평구 응암로 187 (응암동),02-302-6835
김원중내과의원,3466,서울특별시 은평구 응암로 248 (응암동),02-387-0524
이내과의원,5344,서울특별시 강동구 천중로 216 (길동),02-484-5611
중앙내과의원,2832,서울특별시 성북구 동소문로 59 (동소문동4가 3층),02-928-0109
연세외과의원,4207,서울특별시 마포구 마포대로16길 6 1~2층 (공덕동),02-715-6197
연세메디칼내과의원,5675,서울특별시 송파구 가락로 166 (송파동 2층),02-423-6001
이석제내과의원,4116,서울특별시 마포구 신촌로 266-1 2층 (아현동),02-312-1666
연세가정의학과의원,5799,서울특별시 송파구 새말로 136 201호 (문정동 대명빌딩),02-400-7450
장진호내과의원,3610,서울특별시 서대문구 홍은중앙로3길 9 상가동 지하1층 201 202호 (홍은동 북한산 두산 위브),02-391-6336
더샤인한스의원,1405,서울특별시 도봉구 노해로 341 101동 307호 (창동 신원리베르텔),
문현창내과의원,7214,서울특별시 영등포구 당산로 222 2층 (당산동5가 당산디오빌),02-2676-7663
서울연세의원,2406,서울특별시 동대문구 이문로 188 2 3층 (이문동),02-966-1612
우리성모내과의원,4110,서울특별시 마포구 백범로 90 (대흥동),02-701-7973
황소아과의원,5644,서울특별시 송파구 가락로 244 201호 (방이동 동원빌딩),02-422-4274
세연내과의원,6227,서울특별시 강남구 논현로 340 (역삼동 2층일부),02-567-4305
남광우내과의원,8267,서울특별시 구로구 경인로 219 (오류동),02-2617-1025
박가정의원,1684,서울특별시 노원구 상계로27길 15 (상계동 석경빌딩),02-936-4644
김학원소아과의원,5773,서울특별시 송파구 오금로 504 (거여동),02-407-0775
서울본내과의원,4032,서울특별시 마포구 양화로 133 3층 5층 18층 1801호 (서교동 서교타워),02-3143-2220
성문의원,1902,서울특별시 노원구 석계로 9 (월계동),02-919-7075
예성의원,7041,서울특별시 동작구 성대로2길 12 2층 (상도동),02-816-6561
윤영근내과의원,2751,서울특별시 성북구 화랑로 95 (하월곡동),02-941-0035
황소아청소년과의원,1230,서울특별시 강북구 한천로105길 7 201 202호 (번동 주공1단지),02-980-2458
(재)천주교서울대교구유지재단 전진상의원,8574,서울특별시 금천구 탑골로3가길 22 전진상사회복지관 (시흥동),02-802-9311
윤석중내과의원,5504,서울특별시 송파구 올림픽로35길 124 1동 4층 1 6 11 12 13 14 15호 (신천동 장미아파트 에이상가),02-421-9357
행림내과의원,5648,서울특별시 송파구 양재대로 1222 중심상가동 3층 25호 (방이동 올림픽선수기자촌아파트 ),02-407-9031
한사랑의원,1304,서울특별시 도봉구 도봉로 887 (도봉동),02-956-7545
장규만내과의원,2059,서울특별시 중랑구 망우로 439,02-491-1439
류종상내과의원,3396,서울특별시 은평구 통일로 741 5층 (대조동),02-388-1388
이인화내과의원,4012,서울특별시 마포구 월드컵로 87 303호 (망원동),02-323-6660
중앙성모의원,8037,서울특별시 양천구 지양로 75 (신월동),02-2691-6102
이앤문내과의원,6061,서울특별시 강남구 학동로 313 2층 (논현동),02-547-1668
365이화웃는세상의원,3300,서울특별시 은평구 진관3로 11 219호 220호 (성산동 성산시영아파트제1상가동),02-1600-1527
송인국정형외과의원,3691,서울특별시 서대문구 응암로 62 3층 (북가좌동),02-307-8800
진경환내과의원,2250,서울특별시 중랑구 사가정로 404-6 5~7층 (면목동),02-437-7007
연세가정의학과의원,2701,서울특별시 성북구 보국문로 168 (정릉동),02-919-5455
박내과의원,2119,서울특별시 중랑구 망우로 192,02-494-3369
사랑가득중앙의원,1381,서울특별시 도봉구 노해로41길 37 (쌍문동 대성빌딩 2층),02-307-3393
더불어내과의원,4910,서울특별시 광진구 긴고랑로 41 2층 (중곡동),02-469-7577
장스내과의원,2073,서울특별시 중랑구 망우로 411,02-490-4102
우리가정의원,4337,서울특별시 용산구 신흥로 149 (후암동 우리가정의원),02-319-4041
양난경의원,3772,서울특별시 서대문구 신촌로35길 10 1층 118호 (북아현동 e편한세상신촌4단지),02-393-4357
잠실진단검사의학과의원,5558,서울특별시 송파구 올림픽로 118 302호 (잠실동 청우빌딩),02-416-2255
박의수소아청소년과의원,1349,서울특별시 도봉구 도봉로 733 (도봉동),02-956-9393
이가정의원,4575,서울특별시 중구 퇴계로 447 3층 307 308 309호 (황학동 황학아크로타워상가),02-2231-5705
최재철내과의원,6342,서울특별시 강남구 양재대로55길 13 (일원동),02-2226-8062
예일가정의학과의원,3412,서울특별시 은평구 연서로 137 4층 (구산동),02-382-6109
고내과의원,5334,서울특별시 강동구 구천면로 232 (천호동),02-477-2529
한국건강관리협회건강증진의원,2584,서울특별시 동대문구 왕산로 78 지하1층~지상7층 (용두동),
신영연세의원,3008,서울특별시 종로구 평창11길 3 (평창동),02-379-6713
현가정의학과의원,7531,서울특별시 강서구 허준로 175 303호 (가양동 6단지상가),02-2659-2345
유진상내과의원,1714,서울특별시 노원구 한글비석로 269 301호 (중계동 마들프라자),02-930-8433
이태준김재민내과의원,3342,서울특별시 은평구 연서로 277 (불광동 357-1),02-359-6397
이남내과의원,5400,서울특별시 강동구 강동대로 155 (성내동),02-476-7510
강서내과의원,8347,서울특별시 구로구 개봉로 57 강서진료병원 (개봉동),02-2615-7212
우리내과의원,6218,서울특별시 강남구 선릉로69길 19 (역삼동 역삼래미안아파트상가 3층 일부),02-569-8750
유장열이비인후과의원,3345,서울특별시 은평구 연서로 253 (불광동),02-389-4849
한빛내과의원,7944,서울특별시 양천구 오목로 193 (신정동),02-2608-2861
혜성플러스의원,2644,서울특별시 동대문구 장한로 14 1 2 3층 (장안동),02-2244-6356
강소아과의원,1469,서울특별시 도봉구 덕릉로 253 (창동),02-906-1606
김상곤내과의원,5222,서울특별시 강동구 고덕로83길 14 (고덕동),02-429-1159
제이내과의원,1699,서울특별시 노원구 한글비석로 365,
애경내과의원,8288,서울특별시 구로구 새말로 89 4층 (구로동),02-851-2111
송내과의원,2804,서울특별시 성북구 종암로21길 3 (종암동 용진빌딩),02-927-2926
연세내과의원,5306,서울특별시 강동구 양재대로 1603 (천호동),02-483-7825
이가정의학과의원,5823,서울특별시 송파구 동남로 189 506호 (가락동 가락쌍용@26동 프라자상가 ),02-407-1002
유계수내과의원,3336,서울특별시 은평구 서오릉로 168 (갈현동),02-355-4321
장미영내과의원,5032,서울특별시 광진구 광나루로 542 (구의동),02-2201-3020
중앙내과의원,5758,서울특별시 송파구 마천로57길 5 2층 (마천동),02-408-3914
북부성모의원,1046,서울특별시 강북구 한천로 1152 (수유동),02-999-7171
이종수내과의원,5227,서울특별시 강동구 동남로81길 100 2층 (고덕동),02-441-6905
아름다운여성의원,1699,서울특별시 노원구 한글비석로 383 2층 201호 202호 (중계동 삼창프라자),02-936-0374
장대환내과의원,2767,서울특별시 성북구 장월로 88-1 (장위동),02-909-3980
김종웅내과의원,4949,서울특별시 광진구 용마산로 46 2층 (중곡동),02-455-4038
유진목내과의원,8624,서울특별시 금천구 시흥대로 272 (시흥동),02-893-5211
김철수가정의학과의원,7351,서울특별시 영등포구 도신로64길 10 2층 (신길동),02-842-8802
최준내과의원,2766,서울특별시 성북구 돌곶이로 174-1 (장위동),
신동진내과의원,8749,서울특별시 관악구 은천로 38 2층 (봉천동),02-875-3428
노내과의원,3385,서울특별시 은평구 통일로 839 (대조동),02-389-5050
한사랑내과의원,2067,서울특별시 중랑구 신내로 82,02-3423-3033
김철우내과의원,2005,서울특별시 중랑구 동일로 925,02-977-7755
강창순내과의원,6280,서울특별시 강남구 남부순환로 2941 201호 (대치동),02-569-9777
강호경내과의원,7040,서울특별시 동작구 상도로 348 2층 (상도동),02-825-6657
구로연세의원,8304,서울특별시 구로구 구로중앙로 16 2 3층 (구로동),02-858-7776
성내과의원,8531,서울특별시 금천구 시흥대로 473 (독산동),02-830-6848
미즈아이의원,1620,서울특별시 노원구 동일로 1553 2층 (상계동),02-931-5223
연세이내과의원,5367,서울특별시 강동구 진황도로61길 7 202호 (둔촌동 둔촌동현대아파트),02-475-2935
연세가정의학과의원,4378,서울특별시 용산구 한강대로 69 207호 (한강로2가 용산푸르지오써밋),02-792-7582
정형진내과의원,5350,서울특별시 강동구 천호대로 1199 3층 (길동),02-470-5864
배선우내과의원,7069,서울특별시 동작구 시흥대로 644 (신대방동),02-848-1188
우리성내과의원,1188,서울특별시 강북구 솔샘로 223 2층 (미아동 유유빌딩),02-986-0075
임현성내과의원,3404,서울특별시 은평구 진흥로 97 2 3층 (역촌동),02-386-8275
김태욱외과의원,6292,서울특별시 강남구 언주로30길 39 (도곡동 4층일부),02-578-9881
자애내과외과의원,1055,서울특별시 강북구 도봉로 393 (수유동 자애의원),02-905-2694
정승기정형외과의원,3368,서울특별시 은평구 통일로 710 (불광동),02-358-2458
유진내과의원,2573,서울특별시 동대문구 약령시로 126 3층 (청량리동),02-969-7670
현대가정의학과의원,3690,서울특별시 서대문구 거북골로 154 (북가좌동),02-375-7272
성산의원,3953,서울특별시 마포구 월드컵로 205 110호 (성산동),02-308-7533
연세기쁜내과의원,6225,서울특별시 강남구 역삼로 247 홍진빌딩 2층 (역삼동),02-3454-1715
김영재내과의원,1117,서울특별시 강북구 도봉로 253 (수유동 서울메디칼빌딩),02-946-0202
한사랑의원,3963,서울특별시 마포구 월드컵로 123 2층 (망원동),02-334-6866
상덕의원,5519,서울특별시 송파구 바람드리길 62 (풍납동 2층),02-486-9284
최내과의원,4335,서울특별시 용산구 후암로 9-1 (후암동 최내과),
삼성보스톤내과의원,3124,서울특별시 종로구 종로 261 3 4 5층 (종로6가),02-741-8275
최강식내과의원,2846,서울특별시 성북구 동소문로 92 5 6층 (동소문동5가),02-926-6111
노민관가정의학과의원,5360,서울특별시 강동구 천호대로 1210 3층 (둔촌동),02-489-2410
연세정형외과의원,1666,서울특별시 노원구 한글비석로 438 (상계동 연세정형외과),02-936-7940
건강한성심의원,2165,서울특별시 중랑구 용마산로 503 2~5층 (망우동),02-437-6152
김신응내과의원,5055,서울특별시 광진구 자양로15길 18 (자양동),02-454-5080
제일의원,7047,서울특별시 동작구 양녕로 195 (상도동),02-815-0179
도병욱가정의학과의원,1342,서울특별시 도봉구 도당로 94 (방학동),02-3493-0373
박미란소아청소년과의원,8793,서울특별시 관악구 남부순환로 1938 (봉천동),02-872-3274
김재유내과의원,6335,서울특별시 강남구 개포로 615 305호 (개포동),02-459-4597
동서제일의원,1188,서울특별시 강북구 솔샘로 229-1 (미아동),02-945-5767
전호춘내과의원,2244,서울특별시 중랑구 면목로 257,02-432-4105
이기섭의원,7912,서울특별시 양천구 남부순환로40길 67 (신월동),02-2607-7174
우리가정의원,5387,서울특별시 강동구 천호대로162길 50 (성내동),02-484-3627
상계가정의원,1637,서울특별시 노원구 상계로 306 (상계동),
임가정의학과의원,8041,서울특별시 양천구 지양로 22 (신월동 승원빌딩),02-2607-7400
박가정의학과의원,2741,서울특별시 성북구 월계로 52 지상3층 303호 (하월곡동),02-987-2724
신누가의원,2106,서울특별시 중랑구 중랑역로15길 6 (중화동 신누가의원),02-434-5281
우리들내과의원,5676,서울특별시 송파구 송파대로 380 (송파동 4층),02-414-2475
최호열내과의원,4138,서울특별시 마포구 백범로 127 2층 (염리동),02-3274-0301
현의원,1005,서울특별시 강북구 삼양로 623 2층 (우이동),02-905-7582
연세주내과의원,5241,서울특별시 강동구 올림픽로 779,02-441-2710
한빛내과의원,3041,서울특별시 종로구 사직로 107 3층 (내자동 한빛빌딩),02-725-4833
한사랑의원,4615,서울특별시 중구 장충단로 201 지하1층 지상3 4층 (장충동1가 지혜빌딩),02-2277-4707
정인성내과의원,5241,서울특별시 강동구 올림픽로 775 (암사동),02-3427-5161
이만길 내과의원,2051,서울특별시 중랑구 동일로 802 대신빌딩 (중화동),02-437-8610
연희제일의원,3724,서울특별시 서대문구 연희로 108 1층 (연희동),02-336-5361
주용진내과의원,1304,서울특별시 도봉구 도봉로 859 202호 (도봉동 시온성빌딩),02-3492-3091
현대중앙의원,7593,서울특별시 강서구 양천로 128 2층 201호 (방화동 한림리첸빌),02-2666-3394
성모가정의학과의원,4790,서울특별시 성동구 아차산로 41 203호 (성수동1가),02-463-7582
강서성모내과의원,7554,서울특별시 강서구 양천로 658 302호 (염창동 양화진빌딩),02-3662-7585
강창원내과의원,3397,서울특별시 은평구 통일로 721 (대조동),02-389-2043
서내과의원,8784,서울특별시 관악구 남부순환로 1734 (봉천동),02-875-9062
우리가정의원,3472,서울특별시 은평구 은평로 226 2층 (응암동),02-383-0502
고척성모의원,8241,서울특별시 구로구 중앙로15길 29 (고척동),02-2684-3137
김희섭의원,1893,서울특별시 노원구 석계로 95 4층2호 (월계동 성북빌딩),02-943-1706
관악성모의원,8784,서울특별시 관악구 쑥고개로 51-1 (봉천동),02-889-5353
고려의원,1634,서울특별시 노원구 상계로 309-1 명륜빌딩 (상계동),02-3391-7215
박찬문내과의원,8759,서울특별시 관악구 남부순환로 1595 (신림동),02-877-0606
홍가정의학과의원,3431,서울특별시 은평구 갈현로 81 (역촌동 그린빌딩),02-387-7565
용훼미리의원,4415,서울특별시 용산구 보광로 30 (보광동 보광시장상가(주)),02-793-7676
1신건우 이비인후과의원,2140,서울특별시 중랑구 동일로 634 덕천빌딩 3층 (면목동),02-491-9599
삼성속편한의원,3466,서울특별시 은평구 응암로 264 2층 (응암동 용원빌딩),02-307-7577
햇살가득한가정의학과의원,7741,서울특별시 강서구 등촌로 59-1 2층 (화곡동),02-2062-1600
명일건내과의원,5269,서울특별시 강동구 동남로73길 26 2층 204호 (명일동 고덕복합빌딩),02-428-2407
의료법인풍산의료재단 창동제일의원,1405,서울특별시 도봉구 노해로65길 17-13 2층 (창동 검진센터),02-900-5011
한마음의원,5043,서울특별시 광진구 자양로 126 (구의동),02-455-2264
박철호 내과의원,2181,서울특별시 중랑구 용마산로 502 4층,02-2208-1977
최 내과의원,2095,서울특별시 중랑구 동일로 752,02-436-4163
빈센트의원,8599,서울특별시 금천구 한내로 62 3층 3030호 (독산동 한신코아상가),
김재만내과의원,3485,서울특별시 은평구 응암로 179 2층 (응암동),02-303-6003
명인의원,3363,서울특별시 은평구 불광로 104 (불광동),02-384-0166
권현민내과의원,8104,서울특별시 양천구 목동남로4길 2 203호 (신정동 세양청마루2차 주상복합상가),02-2646-5171
주홍돈내과의원,3502,서울특별시 은평구 은평터널로 16 (수색동),02-375-2575
김정백내과의원,7510,서울특별시 강서구 금낭화로 135 402호 (방화동 금강프라자),02-2663-4001
강동성신의원,5550,서울특별시 송파구 백제고분로 457 (방이동),02-415-0446
샘내과의원,4607,서울특별시 중구 다산로 133 2층 (신당동),
선내과의원,3996,서울특별시 마포구 월드컵로 82 2층 (서교동 소단빌딩),02-332-5800
성재의원,8256,서울특별시 구로구 오리로 1268 유림빌딩 (궁동),02-2625-7533
한사랑가정의원,8341,서울특별시 구로구 오류로8길 57 대성빌딩 (오류동),02-2686-4884
이은학내과의원,3772,서울특별시 서대문구 신촌로35길 10 114호 (북아현동 e편한세상신촌4단지),02-362-8275
구로의원,8311,서울특별시 구로구 구로동로 128 (구로동),02-865-0664
파티마의원,1724,서울특별시 노원구 중계로 160 204호 205호 206호 (중계동 화인상가),02-933-0081
김석호내과의원,6952,서울특별시 동작구 상도로 91 (상도동),02-826-2777
한사랑의원,8775,서울특별시 관악구 문성로 219 2층 (신림동),02-856-1717
이내과의원,1379,서울특별시 도봉구 노해로41길 42 2층 (쌍문동),02-996-4670
연세가정의원,8730,서울특별시 관악구 관악로40길 47 1동 409호 (봉천동 현대상가),02-883-7575
이가정의학과의원,7936,서울특별시 양천구 월정로 50 120호 (신월동 청솔아파트상가),02-2605-5430
홍석호내과의원,3368,서울특별시 은평구 통일로 730 3층 301호 (불광동 보광빌딩),02-357-0240
이성욱이비인후과의원,8745,서울특별시 관악구 관악로 205 2 7층 (봉천동),02-886-8272
몸편한내과의원,1648,서울특별시 노원구 덕릉로 744 313 314호 (중계동 대호프라자),02-930-1900
김영내과의원,6914,서울특별시 동작구 만양로 84 205층 (노량진동 삼익아파트상가),02-825-7473
유태석내과의원,4590,서울특별시 중구 동호로 180 5층 (신당동 동양빌딩),02-2233-7076
굿닥터의원,7920,서울특별시 양천구 곰달래로5길 37 105호 (신월동 태영아파트상가),
닥터홍가정의학과의원,4735,서울특별시 성동구 한림말1길 16 2층 (옥수동),02-333-8842
열린보광의원,4406,서울특별시 용산구 우사단로 3 (보광동 열린보광의원 형치과),02-749-8096
오형태내과의원,8251,서울특별시 구로구 고척로21나길 17 현대빌딩 2층 (개봉동),02-2683-6363
영락가정의학과의원,8793,서울특별시 관악구 남부순환로 1956 (봉천동),02-3661-1138
김종률내과의원,7437,서울특별시 영등포구 신길로 28 4층 (신길동 KT대방지점),02-831-1585
난곡연세가정의원,8854,서울특별시 관악구 난곡로 202 2층 (신림동),02-839-1535
서울우리내과의원,7392,서울특별시 영등포구 신풍로 113 5 6 7층 (신길동 시월빌딩),02-843-1675
백근욱내과의원,7413,서울특별시 영등포구 도림로 157 (대림동),02-843-7582
현대제일의원,4180,서울특별시 마포구 도화4길 73 207호 (도화동 현대홈타운상가),02-711-1511
유정내과의원,3329,서울특별시 은평구 통일로85길 6-11 (갈현동),02-386-9275
삼성속편한내과의원,2249,서울특별시 중랑구 사가정로 398 JS빌딩 2층 (면목동),02-432-5002
새사당의원,7008,서울특별시 동작구 사당로 301 2층 (사당동),02-599-5212
우이한솔의원,1044,서울특별시 강북구 삼양로 516 (수유동),02-991-9119
신앤윤가정의학과의원,7539,서울특별시 강서구 양천로 731 상가동 202~204호 (염창동 동아3차아파트),02-2063-8275
한양정형외과내과의원,8273,서울특별시 구로구 경인로 164 대일빌딩 (오류동),02-2687-1321
독일하트의원,4168,서울특별시 마포구 마포대로 92 효성해링턴 스퀘어 B동 3층 1호 (도화동),02-334-1008
다사랑신경외과의원,1340,서울특별시 도봉구 도봉로 677 우리들메디빌딩 2층 203호 (방학동),02-930-1961
김용호소아청소년과의원,8622,서울특별시 금천구 독산로 139 2층 (시흥동),02-805-7575
김명선내과의원,2860,서울특별시 성북구 동소문로 18 지상2층 (동소문동2가),02-747-7582
서울내과의원,1454,서울특별시 도봉구 도봉로 488 (창동),02-905-6119
광진성모의원,5070,서울특별시 광진구 능동로 50 (자양동 이튼리버타워 2차 207호),
정내과의원,7722,서울특별시 강서구 까치산로4길 3 2층 (화곡동 화성빌딩),02-2606-7577
천내과의원,1767,서울특별시 노원구 동일로 1343 301호 (상계동 동일프라자),02-3296-3311
한빛내과의원,8520,서울특별시 금천구 가산로 111 2층 (가산동),02-856-8275
양대원내과의원,4170,서울특별시 마포구 도화길 32 303호 304호 (도화동 삼성아파트상가동),02-703-8543
강봉수가정의학과의원,7930,서울특별시 양천구 월정로 53 (신월동),02-2698-6745
